close,time
58551.61,2021-11-20 03:52:00
58521.92,2021-11-20 03:53:00
58510.0,2021-11-20 03:54:00
58488.0,2021-11-20 03:55:00
58440.42,2021-11-20 03:56:00
58482.01,2021-11-20 03:57:00
58496.04,2021-11-20 03:58:00
58513.1,2021-11-20 03:59:00
58537.92,2021-11-20 04:00:00
58481.63,2021-11-20 04:01:00
58485.45,2021-11-20 04:02:00
58458.42,2021-11-20 04:03:00
58471.21,2021-11-20 04:04:00
58501.6,2021-11-20 04:05:00
58472.94,2021-11-20 04:06:00
58404.46,2021-11-20 04:07:00
58434.44,2021-11-20 04:08:00
58402.01,2021-11-20 04:09:00
58386.5,2021-11-20 04:10:00
58376.55,2021-11-20 04:11:00
58375.72,2021-11-20 04:12:00
58398.94,2021-11-20 04:13:00
58429.36,2021-11-20 04:14:00
58396.63,2021-11-20 04:15:00
58411.85,2021-11-20 04:16:00
58451.66,2021-11-20 04:17:00
58449.99,2021-11-20 04:18:00
58451.74,2021-11-20 04:19:00
58419.91,2021-11-20 04:20:00
58432.37,2021-11-20 04:21:00
58443.4,2021-11-20 04:22:00
58442.82,2021-11-20 04:23:00
58466.07,2021-11-20 04:24:00
58459.53,2021-11-20 04:25:00
58457.75,2021-11-20 04:26:00
58444.21,2021-11-20 04:27:00
58389.89,2021-11-20 04:28:00
58401.74,2021-11-20 04:29:00
58419.98,2021-11-20 04:30:00
58430.83,2021-11-20 04:31:00
58395.42,2021-11-20 04:32:00
58405.46,2021-11-20 04:33:00
58397.12,2021-11-20 04:34:00
58429.92,2021-11-20 04:35:00
58428.5,2021-11-20 04:36:00
58412.64,2021-11-20 04:37:00
58483.25,2021-11-20 04:38:00
58500.01,2021-11-20 04:39:00
58501.35,2021-11-20 04:40:00
58492.36,2021-11-20 04:41:00
58430.11,2021-11-20 04:42:00
58457.28,2021-11-20 04:43:00
58460.38,2021-11-20 04:44:00
58417.99,2021-11-20 04:45:00
58405.06,2021-11-20 04:46:00
58398.19,2021-11-20 04:47:00
58433.44,2021-11-20 04:48:00
58473.03,2021-11-20 04:49:00
58461.51,2021-11-20 04:50:00
58497.63,2021-11-20 04:51:00
58537.01,2021-11-20 04:52:00
58562.89,2021-11-20 04:53:00
58499.1,2021-11-20 04:54:00
58500.19,2021-11-20 04:55:00
58492.94,2021-11-20 04:56:00
58512.33,2021-11-20 04:57:00
58480.15,2021-11-20 04:58:00
58486.71,2021-11-20 04:59:00
58522.61,2021-11-20 05:00:00
58541.3,2021-11-20 05:01:00
58535.31,2021-11-20 05:02:00
58542.37,2021-11-20 05:03:00
58546.12,2021-11-20 05:04:00
58543.35,2021-11-20 05:05:00
58492.07,2021-11-20 05:06:00
58482.28,2021-11-20 05:07:00
58472.86,2021-11-20 05:08:00
58495.26,2021-11-20 05:09:00
58450.01,2021-11-20 05:10:00
58445.91,2021-11-20 05:11:00
58460.32,2021-11-20 05:12:00
58446.91,2021-11-20 05:13:00
58362.38,2021-11-20 05:14:00
58409.99,2021-11-20 05:15:00
58358.74,2021-11-20 05:16:00
58338.77,2021-11-20 05:17:00
58318.59,2021-11-20 05:18:00
58280.01,2021-11-20 05:19:00
58288.99,2021-11-20 05:20:00
58277.37,2021-11-20 05:21:00
58321.13,2021-11-20 05:22:00
58297.25,2021-11-20 05:23:00
58357.46,2021-11-20 05:24:00
58345.98,2021-11-20 05:25:00
58370.18,2021-11-20 05:26:00
58406.38,2021-11-20 05:27:00
58392.41,2021-11-20 05:28:00
58406.84,2021-11-20 05:29:00
58432.12,2021-11-20 05:30:00
58502.38,2021-11-20 05:31:00
58500.45,2021-11-20 05:32:00
58515.48,2021-11-20 05:33:00
58516.28,2021-11-20 05:34:00
58540.87,2021-11-20 05:35:00
58527.39,2021-11-20 05:36:00
58514.84,2021-11-20 05:37:00
58517.64,2021-11-20 05:38:00
58531.74,2021-11-20 05:39:00
58463.3,2021-11-20 05:40:00
58548.08,2021-11-20 05:41:00
58548.07,2021-11-20 05:42:00
58544.37,2021-11-20 05:43:00
58528.0,2021-11-20 05:44:00
58510.88,2021-11-20 05:45:00
58508.62,2021-11-20 05:46:00
58525.75,2021-11-20 05:47:00
58445.75,2021-11-20 05:48:00
58452.42,2021-11-20 05:49:00
