Close,Date
422.72,2014-04-13 00:07:00
416.97,2014-04-14 00:07:00
462.99,2014-04-15 00:07:00
521.51005,2014-04-16 00:07:00
531.5,2014-04-17 00:07:00
498.61,2014-04-18 00:07:00
481.17,2014-04-19 00:07:00
504.98999999,2014-04-20 00:07:00
502.0,2014-04-21 00:07:00
497.82999999,2014-04-22 00:07:00
492.4,2014-04-23 00:07:00
492.9,2014-04-24 00:07:00
503.7,2014-04-25 00:07:00
465.94,2014-04-26 00:07:00
458.5,2014-04-27 00:07:00
432.9999,2014-04-28 00:07:00
440.5,2014-04-29 00:07:00
446.52,2014-04-30 00:07:00
449.0201,2014-05-01 00:07:00
460.0,2014-05-02 00:07:00
450.0,2014-05-03 00:07:00
438.90879666,2014-05-04 00:07:00
437.94997,2014-05-05 00:07:00
431.6,2014-05-06 00:07:00
430.1,2014-05-07 00:07:00
442.0,2014-05-08 00:07:00
438.8,2014-05-09 00:07:00
454.0,2014-05-10 00:07:00
456.11,2014-05-11 00:07:00
439.0,2014-05-12 00:07:00
440.01,2014-05-13 00:07:00
438.8,2014-05-14 00:07:00
444.01,2014-05-15 00:07:00
447.34,2014-05-16 00:07:00
448.5,2014-05-17 00:07:00
449.04,2014-05-18 00:07:00
447.55,2014-05-19 00:07:00
447.0,2014-05-20 00:07:00
490.0,2014-05-21 00:07:00
493.25,2014-05-22 00:07:00
526.97,2014-05-23 00:07:00
525.6,2014-05-24 00:07:00
528.92,2014-05-25 00:07:00
574.55,2014-05-26 00:07:00
585.01,2014-05-27 00:07:00
574.78,2014-05-28 00:07:00
582.0,2014-05-29 00:07:00
569.85,2014-05-30 00:07:00
620.9,2014-05-31 00:07:00
625.69,2014-06-01 00:07:00
630.0,2014-06-02 00:07:00
663.12,2014-06-03 00:07:00
670.81,2014-06-04 00:07:00
641.9,2014-06-05 00:07:00
658.4,2014-06-06 00:07:00
646.5,2014-06-07 00:07:00
657.21,2014-06-08 00:07:00
658.0,2014-06-09 00:07:00
651.6,2014-06-10 00:07:00
657.0,2014-06-11 00:07:00
637.69,2014-06-12 00:07:00
602.99,2014-06-13 00:07:00
605.0,2014-06-14 00:07:00
577.01,2014-06-15 00:07:00
588.93,2014-06-16 00:07:00
592.93,2014-06-17 00:07:00
612.5,2014-06-18 00:07:00
609.9,2014-06-19 00:07:00
595.71,2014-06-20 00:07:00
591.79,2014-06-21 00:07:00
595.5,2014-06-22 00:07:00
602.5,2014-06-23 00:07:00
590.79,2014-06-24 00:07:00
581.21,2014-06-25 00:07:00
567.5,2014-06-26 00:07:00
581.1,2014-06-27 00:07:00
598.21,2014-06-28 00:07:00
596.11,2014-06-29 00:07:00
601.06,2014-06-30 00:07:00
651.66,2014-07-01 00:07:00
643.95,2014-07-02 00:07:00
654.0,2014-07-03 00:07:00
644.0,2014-07-04 00:07:00
630.5,2014-07-05 00:07:00
632.0,2014-07-06 00:07:00
637.77,2014-07-07 00:07:00
620.3,2014-07-08 00:07:00
625.36,2014-07-09 00:07:00
625.0,2014-07-10 00:07:00
616.87,2014-07-11 00:07:00
636.0,2014-07-12 00:07:00
636.88,2014-07-13 00:07:00
629.49,2014-07-14 00:07:00
619.49,2014-07-15 00:07:00
619.9,2014-07-16 00:07:00
616.48,2014-07-17 00:07:00
622.0,2014-07-18 00:07:00
630.66,2014-07-19 00:07:00
628.23,2014-07-20 00:07:00
624.0,2014-07-21 00:07:00
620.01,2014-07-22 00:07:00
619.54,2014-07-23 00:07:00
619.0,2014-07-24 00:07:00
602.37,2014-07-25 00:07:00
599.71,2014-07-26 00:07:00
593.9,2014-07-27 00:07:00
591.8,2014-07-28 00:07:00
584.25,2014-07-29 00:07:00
583.01,2014-07-30 00:07:00
565.91,2014-07-31 00:07:00
580.0,2014-08-01 00:07:00
594.6,2014-08-02 00:07:00
587.61,2014-08-03 00:07:00
585.71,2014-08-04 00:07:00
587.2,2014-08-05 00:07:00
582.94,2014-08-06 00:07:00
581.36,2014-08-07 00:07:00
586.82,2014-08-08 00:07:00
590.14,2014-08-09 00:07:00
588.88,2014-08-10 00:07:00
588.29,2014-08-11 00:07:00
572.91,2014-08-12 00:07:00
568.86,2014-08-13 00:07:00
546.26,2014-08-14 00:07:00
509.5,2014-08-15 00:07:00
497.22,2014-08-16 00:07:00
519.75,2014-08-17 00:07:00
499.63,2014-08-18 00:07:00
